NAMESPACE                      NAME                                                              READY   STATUS             RESTARTS          AGE    IP                NODE          NOMINATED NODE   READINESS GATES
kube-system                    tetragon-zmfgj                                                    1/1     Running            2 (80d ago)       191d   192.168.160.113   csco-k8s-03   <none>           <none>
kubesphere-controls-system     default-http-backend-7c9554c7bd-h98ww                             1/1     Running            7 (80d ago)       410d   10.244.2.184      csco-k8s-03   <none>           <none>
kubesphere-controls-system     kubectl-admin-6cbbfc6974-k5lnv                                    1/1     Running            7 (80d ago)       410d   10.244.2.116      csco-k8s-03   <none>           <none>
kubesphere-monitoring-system   alertmanager-main-0                                               2/2     Running            0                 2d3h   10.244.0.53       csco-k8s-01   <none>           <none>
kubesphere-monitoring-system   alertmanager-main-1                                               2/2     Running            0                 2d3h   10.244.1.9        csco-k8s-02   <none>           <none>
kubesphere-monitoring-system   alertmanager-main-2                                               0/2     Init:0/1           0                 1s     <none>            csco-k8s-04   <none>           <none>
kubesphere-monitoring-system   kube-state-metrics-649c78b559-c98p5                               3/3     Running            21 (80d ago)      410d   10.244.2.140      csco-k8s-03   <none>           <none>
kubesphere-monitoring-system   node-exporter-2bqvn                                               0/2     Pending            0                 410d   <none>            <none>        <none>           <none>
kubesphere-monitoring-system   node-exporter-t25z4                                               0/2     Pending            0                 410d   <none>            <none>        <none>           <none>
kubesphere-monitoring-system   node-exporter-wkhh6                                               0/2     Pending            0                 410d   <none>            <none>        <none>           <none>
kubesphere-monitoring-system   node-exporter-xmm5h                                               0/2     Pending            0                 410d   <none>            <none>        <none>           <none>
kubesphere-monitoring-system   notification-manager-deployment-7f66674b86-6hhg4                  2/2     Running            12 (80d ago)      410d   10.244.0.26       csco-k8s-01   <none>           <none>
kubesphere-monitoring-system   notification-manager-deployment-7f66674b86-nzl97                  2/2     Running            10 (53d ago)      271d   10.244.3.164      csco-k8s-04   <none>           <none>
kubesphere-monitoring-system   notification-manager-operator-6594c654cc-n82qv                    2/2     Running            48 (80d ago)      369d   10.244.0.25       csco-k8s-01   <none>           <none>
kubesphere-monitoring-system   prometheus-k8s-0                                                  2/2     Running            0                 2d3h   10.244.3.106      csco-k8s-04   <none>           <none>
kubesphere-monitoring-system   prometheus-k8s-1                                                  0/2     Terminating        0                 2s     <none>            csco-k8s-01   <none>           <none>
kubesphere-monitoring-system   prometheus-operator-66948947f5-vl89r                              2/2     Running            12 (80d ago)      410d   10.244.0.247      csco-k8s-01   <none>           <none>
kubesphere-system              ks-apiserver-847b78c4b-g8xll                                      0/1     ImagePullBackOff   0                 144d   10.244.1.28       csco-k8s-02   <none>           <none>
kubesphere-system              ks-console-7c5f97d57c-tq4mb                                       0/1     ImagePullBackOff   0                 74d    10.244.0.170      csco-k8s-01   <none>           <none>
kubesphere-system              ks-controller-manager-b947bd846-4mq7g                             0/1     ImagePullBackOff   0                 74d    10.244.0.245      csco-k8s-01   <none>           <none>
kubesphere-system              ks-installer-745754d58-g2p9b                                      1/1     Running            7 (80d ago)       410d   10.244.2.253      csco-k8s-03   <none>           <none>
openebs                        openebs-localpv-provisioner-7c4494d6dc-m95s6                      1/1     Running            378 (2d3h ago)    250d   10.244.3.131      csco-k8s-04   <none>           <none>
openebs                        openebs-ndm-27qqr                                                 1/1     Running            13 (53d ago)      410d   192.168.160.114   csco-k8s-04   <none>           <none>
openebs                        openebs-ndm-56n8j                                                 1/1     Running            14 (80d ago)      410d   192.168.160.113   csco-k8s-03   <none>           <none>
openebs                        openebs-ndm-cluster-exporter-6d8759c9b-8rfgk                      1/1     Running            7 (80d ago)       410d   10.244.2.165      csco-k8s-03   <none>           <none>
openebs                        openebs-ndm-d82jh                                                 1/1     Running            12 (80d ago)      410d   192.168.160.111   csco-k8s-01   <none>           <none>
openebs                        openebs-ndm-node-exporter-5zw6p                                   1/1     Running            7 (80d ago)       410d   10.244.2.247      csco-k8s-03   <none>           <none>
openebs                        openebs-ndm-node-exporter-bgr2b                                   1/1     Running            5 (80d ago)       410d   10.244.1.134      csco-k8s-02   <none>           <none>
openebs                        openebs-ndm-node-exporter-jgzz2                                   1/1     Running            6 (80d ago)       410d   10.244.0.161      csco-k8s-01   <none>           <none>
openebs                        openebs-ndm-node-exporter-xjrlt                                   1/1     Running            7 (53d ago)       410d   10.244.3.13       csco-k8s-04   <none>           <none>
openebs                        openebs-ndm-operator-cb7bf6676-jjhzn                              1/1     Running            6 (80d ago)       369d   10.244.0.64       csco-k8s-01   <none>           <none>
openebs                        openebs-ndm-xr2nv                                                 1/1     Running            11 (80d ago)      410d   192.168.160.112   csco-k8s-02   <none>           <none>
rbd-system                     local-path-provisioner-764d97bb44-bmhsw                           1/1     Running            6 (80d ago)       369d   10.244.0.20       csco-k8s-01   <none>           <none>
rbd-system                     minio-0                                                           1/1     Running            353 (6d18h ago)   369d   10.244.3.144      csco-k8s-04   <none>           <none>
rbd-system                     rainbond-operator-676668d465-srd2w                                1/1     Running            55 (80d ago)      401d   10.244.0.3        csco-k8s-01   <none>           <none>
rbd-system                     rbd-api-6595ccf4fc-7d7wb                                          1/1     Running            8 (80d ago)       401d   10.244.2.136      csco-k8s-03   <none>           <none>
rbd-system                     rbd-app-ui-6c49585644-bmhwc                                       1/1     Running            3587 (2d3h ago)   400d   10.244.0.98       csco-k8s-01   <none>           <none>
rbd-system                     rbd-chaos-s9k7g                                                   1/1     Running            1848 (14d ago)    401d   10.244.1.250      csco-k8s-02   <none>           <none>
rbd-system                     rbd-db-0                                                          1/1     Running            5 (53d ago)       401d   10.244.3.66       csco-k8s-04   <none>           <none>
rbd-system                     rbd-gateway-675b8ccbfc-w6s2j                                      2/2     Running            42 (80d ago)      401d   192.168.160.112   csco-k8s-02   <none>           <none>
rbd-system                     rbd-hub-7b87b767d7-9f8cj                                          1/1     Running            7 (53d ago)       369d   10.244.3.68       csco-k8s-04   <none>           <none>
rbd-system                     rbd-monitor-0                                                     1/1     Running            7 (80d ago)       401d   10.244.0.175      csco-k8s-01   <none>           <none>
rbd-system                     rbd-mq-784c7b8b58-ml2wq                                           1/1     Running            7 (80d ago)       401d   10.244.2.246      csco-k8s-03   <none>           <none>
rbd-system                     rbd-worker-c45f98ccd-hr98m                                        1/1     Running            11 (80d ago)      401d   10.244.0.182      csco-k8s-01   <none>           <none>
security-aiops                 consul-client-0                                                   1/1     Running            1 (80d ago)       130d   10.244.1.248      csco-k8s-02   <none>           <none>
security-aiops                 consul-server-0                                                   1/1     Running            1 (80d ago)       130d   10.244.2.241      csco-k8s-03   <none>           <none>
security-aiops                 consul-server-1                                                   1/1     Running            4 (53d ago)       130d   10.244.3.151      csco-k8s-04   <none>           <none>
security-aiops                 consul-server-2                                                   1/1     Running            1 (80d ago)       130d   10.244.1.201      csco-k8s-02   <none>           <none>
security-aiops                 elasticsearch-0                                                   1/1     Running            1 (80d ago)       130d   10.244.1.39       csco-k8s-02   <none>           <none>
security-aiops                 firewall-sculptor-service-core-0                                  1/1     Running            1 (80d ago)       130d   10.244.2.206      csco-k8s-03   <none>           <none>
security-aiops                 firewall-sculptor-service-event-0                                 1/1     Running            1 (80d ago)       130d   10.244.2.85       csco-k8s-03   <none>           <none>
security-aiops                 firewall-sculptor-service-firewall-0                              1/1     Running            1 (80d ago)       130d   10.244.1.50       csco-k8s-02   <none>           <none>
